study,home_id,e_id,a_id,start,stop,area_id_1,area_id_2,area_str_1,area_str_2
OHSU-CART,1111,0,0,13/8/2019 9:19,29/6/2020 23:59,5,19,Bedroom 2,Hallway 1
OHSU-CART,1111,0,0,13/8/2019 9:19,29/6/2020 23:59,4,19,Bedroom 1,Hallway 1
OHSU-CART,1111,0,0,13/8/2019 9:19,29/6/2020 23:59,2,19,Bathroom 2,Hallway 1
OHSU-CART,1111,0,0,13/8/2019 9:19,29/6/2020 23:59,19,33,Hallway 1,Office 1
OHSU-CART,1111,0,0,13/8/2019 9:19,29/6/2020 23:59,19,29,Hallway 1,Living Room 1
OHSU-CART,1111,0,0,13/8/2019 9:19,29/6/2020 23:59,19,63,Hallway 1,Sensor Line
OHSU-CART,1111,0,0,13/8/2019 9:19,29/6/2020 23:59,13,19,Dining Room 1,Hallway 1
OHSU-CART,1111,0,0,13/8/2019 9:19,29/6/2020 23:59,13,23,Dining Room 1,Kitchen 1
OHSU-CART,1111,0,0,13/8/2019 9:19,29/6/2020 23:59,13,57,Dining Room 1,Back Door
OHSU-CART,1111,0,0,13/8/2019 9:19,29/6/2020 23:59,29,56,Living Room 1,Front Door
OHSU-CART,1111,0,0,13/8/2019 9:19,29/6/2020 23:59,1,4,Bathroom 1,Bedroom 1
OHSU-CART,1111,0,0,13/8/2019 9:19,29/6/2020 23:59,23,29,Kitchen 1,Living Room 1
OHSU-CART,1111,0,0,13/8/2019 9:19,29/6/2020 23:59,29,61,Living Room 1,Garage Door
OHSU-CART,1111,0,1,13/8/2019 9:19,13/8/2019 9:19,19,33,Hallway 1,Office 1
OHSU-CART,1111,0,1,13/8/2019 9:19,13/8/2019 9:19,29,56,Living Room 1,Front Door
OHSU-CART,1111,0,1,13/8/2019 9:19,13/8/2019 9:19,29,61,Living Room 1,Garage Door
OHSU-CART,1111,0,1,13/8/2019 9:19,13/8/2019 9:19,13,57,Dining Room 1,Back Door
OHSU-CART,1111,0,1,13/8/2019 9:19,13/8/2019 9:19,19,63,Hallway 1,Sensor Line
OHSU-CART,1111,0,1,13/8/2019 9:19,13/8/2019 9:19,13,23,Dining Room 1,Kitchen 1
OHSU-CART,1111,0,1,13/8/2019 9:19,13/8/2019 9:19,23,29,Kitchen 1,Living Room 1
OHSU-CART,1111,0,1,13/8/2019 9:19,13/8/2019 9:19,13,19,Dining Room 1,Hallway 1
OHSU-CART,1111,0,1,13/8/2019 9:19,13/8/2019 9:19,5,19,Bedroom 2,Hallway 1
OHSU-CART,1111,0,1,13/8/2019 9:19,13/8/2019 9:19,4,19,Bedroom 1,Hallway 1
OHSU-CART,1111,0,1,13/8/2019 9:19,13/8/2019 9:19,1,4,Bathroom 1,Bedroom 1
OHSU-CART,1111,0,1,13/8/2019 9:19,13/8/2019 9:19,19,29,Hallway 1,Living Room 1
OHSU-CART,1111,0,1,13/8/2019 9:19,13/8/2019 9:19,2,19,Bathroom 2,Hallway 1
OHSU-CART,1111,0,2,18/7/2018 15:26,13/8/2019 9:19,4,19,Bedroom 1,Hallway 1
OHSU-CART,1111,0,2,18/7/2018 15:26,13/8/2019 9:19,1,4,Bathroom 1,Bedroom 1
OHSU-CART,1111,0,2,18/7/2018 15:26,13/8/2019 9:19,13,57,Dining Room 1,Back Door
OHSU-CART,1111,0,2,18/7/2018 15:26,13/8/2019 9:19,13,19,Dining Room 1,Hallway 1
OHSU-CART,1111,0,2,18/7/2018 15:26,13/8/2019 9:19,13,23,Dining Room 1,Kitchen 1
OHSU-CART,1111,0,2,18/7/2018 15:26,13/8/2019 9:19,5,19,Bedroom 2,Hallway 1
OHSU-CART,1111,0,2,18/7/2018 15:26,13/8/2019 9:19,2,19,Bathroom 2,Hallway 1
OHSU-CART,1111,0,2,18/7/2018 15:26,13/8/2019 9:19,19,29,Hallway 1,Living Room 1
OHSU-CART,1111,0,2,18/7/2018 15:26,13/8/2019 9:19,19,63,Hallway 1,Sensor Line
OHSU-CART,1111,0,2,18/7/2018 15:26,13/8/2019 9:19,19,33,Hallway 1,Office 1
OHSU-CART,1111,0,2,18/7/2018 15:26,13/8/2019 9:19,29,56,Living Room 1,Front Door
OHSU-CART,1111,0,2,18/7/2018 15:26,13/8/2019 9:19,23,29,Kitchen 1,Living Room 1
OHSU-CART,1111,0,2,18/7/2018 15:26,13/8/2019 9:19,29,61,Living Room 1,Garage Door
OHSU-CART,1111,0,3,18/7/2018 15:26,18/7/2018 15:26,29,61,Living Room 1,Garage Door
OHSU-CART,1111,0,3,18/7/2018 15:26,18/7/2018 15:26,23,29,Kitchen 1,Living Room 1
OHSU-CART,1111,0,3,18/7/2018 15:26,18/7/2018 15:26,19,29,Hallway 1,Living Room 1
OHSU-CART,1111,0,3,18/7/2018 15:26,18/7/2018 15:26,29,56,Living Room 1,Front Door
OHSU-CART,1111,0,3,18/7/2018 15:26,18/7/2018 15:26,13,23,Dining Room 1,Kitchen 1
OHSU-CART,1111,0,3,18/7/2018 15:26,18/7/2018 15:26,1,4,Bathroom 1,Bedroom 1
OHSU-CART,1111,0,3,18/7/2018 15:26,18/7/2018 15:26,4,19,Bedroom 1,Hallway 1
OHSU-CART,1111,0,3,18/7/2018 15:26,18/7/2018 15:26,2,19,Bathroom 2,Hallway 1
OHSU-CART,1111,0,3,18/7/2018 15:26,18/7/2018 15:26,19,63,Hallway 1,Sensor Line
OHSU-CART,1111,0,3,18/7/2018 15:26,18/7/2018 15:26,19,33,Hallway 1,Office 1
OHSU-CART,1111,0,3,18/7/2018 15:26,18/7/2018 15:26,5,19,Bedroom 2,Hallway 1
OHSU-CART,1111,0,3,18/7/2018 15:26,18/7/2018 15:26,13,19,Dining Room 1,Hallway 1
OHSU-CART,1111,0,3,18/7/2018 15:26,18/7/2018 15:26,13,57,Dining Room 1,Back Door
OHSU-CART,1111,0,4,18/7/2018 15:25,18/7/2018 15:26,19,63,Hallway 1,Sensor Line
OHSU-CART,1111,0,4,18/7/2018 15:25,18/7/2018 15:26,2,19,Bathroom 2,Hallway 1
OHSU-CART,1111,0,4,18/7/2018 15:25,18/7/2018 15:26,13,23,Dining Room 1,Kitchen 1
OHSU-CART,1111,0,4,18/7/2018 15:25,18/7/2018 15:26,23,29,Kitchen 1,Living Room 1
